user_id,candidates
2070,"[923746, 1029743, 1044078, 1096036, 896369, 1005186, 981760, 910032, 859075, 833025, 871756, 893018, 908531, 1107553, 1038217, 1106523, 5568378, 1006184, 1068719, 1133018, 904360, 1042438, 1127831, 1085604, 1024306, 878996, 909894, 847982, 1070015, 1062966, 995242, 866211, 899624, 962568, 1043590, 865456, 961554, 1056509, 965267, 879755]"
2021,"[951590, 981760, 1044078, 904360, 844179, 1029743, 995242, 845208, 1004906, 923746, 1106523, 1037863, 1133018, 962229, 1081177, 1127831, 910032, 871756, 1096036, 1068719, 847982, 9527290, 859075, 1043590, 866211, 909894, 854852, 9526410, 5592931, 916122, 899624, 12301109, 1065593, 883932, 987562, 952163, 1062966, 944534, 1039156, 965766]"
1753,"[1005186, 879755, 1085604, 986912, 1106523, 1133018, 1110572, 1110843, 1065593, 5978656, 1037894, 861445, 844165, 859075, 863802, 8090537, 1091365, 1075368, 1107553, 5569230, 981760, 1053690, 5568378, 1092026, 979707, 859237, 908531, 1136257, 8090521, 1068719, 901543, 1106301, 1076056, 1044078, 5978648, 882305, 922907, 1007136, 5592931, 897125]"
2120,"[1106523, 1029743, 995242, 981760, 1058997, 1126899, 1133018, 1127831, 5569230, 1053690, 1070820, 986912, 844165, 1016800, 1044078, 1005186, 917033, 878996, 854852, 1085604, 5568378, 916122, 1065593, 5569471, 904360, 914190, 951590, 12523928, 866211, 1036347, 862349, 953539, 1118946, 1122568, 930118, 1033615, 7168026, 1007136, 1092026, 1110843]"
1346,"[1127831, 1058997, 1126899, 866211, 878996, 981760, 1024306, 961554, 903325, 5978656, 1023720, 909714, 962568, 901062, 916122, 854852, 1105488, 930118, 965267, 5978648, 1022254, 6034857, 1062002, 904360, 1117514, 933637, 1057102, 1051516, 1127179, 860299, 5569471, 951412, 1055504, 1006184, 1081177, 995242, 7024990, 970030, 1098248, 857503]"
2324,"[995242, 1029743, 5978656, 981760, 961554, 1127831, 916122, 5978648, 5569230, 854852, 6034857, 903325, 909714, 824005, 1057260, 904360, 866211, 1136257, 908531, 1039156, 844179, 878996, 979707, 914190, 1117514, 5569471, 859075, 1027569, 1119051, 962568, 1058997, 1004906, 901062, 1081177, 970030, 995965, 897125, 8090521, 845208, 923746]"
2430,"[981760, 995242, 859075, 951590, 1127831, 908531, 5978656, 1029743, 1058997, 1126899, 904360, 5569230, 866211, 923746, 1004906, 961554, 1039156, 5978648, 854852, 1133018, 987562, 916122, 1024306, 909894, 878996, 1044078, 845208, 845193, 962568, 933835, 1101010, 910032, 1081177, 1096036, 1040807, 5569471, 1018740, 979707, 1038217, 1053690]"
1434,"[1081177, 1065593, 981760, 1053690, 995242, 951590, 1075368, 1133018, 909894, 1026118, 933835, 904360, 961554, 893501, 854852, 1106523, 962229, 1040807, 962568, 1043301, 1029743, 5569230, 862349, 916122, 1038217, 987562, 1132771, 859075, 1127831, 837270, 845307, 1023958, 6034857, 995965, 1044078, 1107553, 5978656, 5569471, 908531, 986912]"
2181,"[5569230, 1029743, 995242, 981760, 1127831, 916122, 923746, 961554, 824005, 1005186, 854852, 962568, 903325, 866211, 6034857, 5978656, 859075, 1058997, 904360, 979707, 862349, 995965, 970030, 5569471, 987562, 951412, 1024306, 1053690, 874972, 951590, 878996, 1028816, 1004906, 908318, 1044078, 870515, 5569845, 1110843, 1136257, 1133018]"
1011,"[916122, 1058997, 1126899, 1005186, 961554, 981760, 824005, 5978656, 985999, 1127831, 862349, 951412, 1081177, 979707, 854852, 970030, 904360, 1119051, 1026118, 908318, 1053690, 12810393, 903325, 901062, 874972, 1136257, 1110843, 1070820, 897954, 944836, 995965, 6034857, 1039156, 970202, 859075, 962568, 1046262, 970119, 5569230, 1028816]"
119,"[995242, 1029743, 986912, 1127831, 5978656, 981760, 878996, 866211, 1005186, 1077555, 1023720, 940947, 908531, 1105488, 1112238, 1117393, 854852, 904360, 1102949, 891141, 909894, 1133018, 951590, 1024306, 1002771, 5978648, 879528, 885290, 860975, 979707, 9526410, 1081189, 1043301, 1110843, 1076056, 5569230, 862349, 901062, 1027569, 1023958]"
1550,"[1133018, 1096036, 1033615, 981760, 1106523, 985119, 1065593, 1070015, 995242, 1044078, 844165, 909894, 1005186, 5592931, 6533765, 922907, 1114597, 1029743, 1062966, 1038217, 834833, 893018, 1023958, 8205218, 928049, 1043590, 1127758, 1026346, 1029624, 987562, 918368, 859075, 827683, 908531, 1134522, 883963, 1025611, 833025, 1103629, 910673]"
400,"[995965, 897125, 965766, 844179, 896085, 981760, 857503, 1068719, 1014948, 1117514, 913210, 899624, 990797, 903325, 985999, 1081177, 951412, 12810393, 962568, 952317, 961554, 834117, 872137, 1074754, 8090513, 874972, 972931, 854852, 9245106, 954966, 5585510, 1057749, 979707, 5568729, 1022053, 1004906, 904360, 999858, 1029743, 1002771]"
2310,"[995242, 1029743, 981760, 923746, 859075, 844165, 1070015, 909894, 1068719, 5592931, 1004906, 1065593, 1033615, 6533765, 987562, 951590, 1043590, 904360, 985119, 1005186, 913785, 1133018, 885290, 1127758, 1096036, 1037863, 965766, 1092026, 1081177, 1044078, 1103629, 866211, 910673, 1062966, 1025611, 5585510, 871756, 892008, 1106523, 969866]"
1458,"[923746, 1106523, 1133018, 981760, 845208, 899624, 961554, 1004906, 962568, 866211, 874972, 1037863, 5978656, 863447, 847982, 1127831, 1024306, 878996, 1070702, 5978648, 1022254, 916122, 903325, 1000753, 1105623, 12946027, 1006184, 1038217, 902167, 1068719, 854852, 965766, 835098, 977545, 12810393, 822407, 882288, 993638, 1044078, 995965]"
2095,"[981760, 1106523, 1133018, 1068719, 1044078, 1065593, 1005186, 5592931, 951590, 1029743, 822407, 904360, 930917, 1004906, 859075, 1085604, 866211, 1033615, 1070015, 5568378, 909894, 1051211, 844179, 1101173, 1096036, 985119, 878996, 916122, 832678, 995242, 1127831, 6533765, 847982, 965766, 1062966, 1043590, 1134522, 1081177, 892008, 833025]"
2375,"[854852, 1106523, 899624, 1081177, 923746, 845208, 1004906, 1133018, 904360, 1037863, 981760, 844179, 5585510, 1044078, 962568, 910032, 1024306, 859075, 951590, 1127831, 871756, 1046545, 844165, 878996, 987562, 847982, 965766, 1053690, 1043590, 896613, 979707, 965267, 866211, 1092026, 1068719, 863447, 916122, 823704, 962229, 883932]"
2101,"[1029743, 995242, 981760, 1106523, 1133018, 1127831, 5569230, 951590, 1053690, 1044078, 986912, 1058997, 904360, 844165, 1070820, 1040807, 1126899, 854852, 1101010, 1016800, 1085604, 1092026, 1039156, 1005186, 910032, 866211, 5568378, 914190, 908531, 1132771, 883003, 878996, 1057260, 1077555, 933835, 827656, 862349, 833025, 923746, 844179]"
